"date","year","epiweek","abbreviation","location","location_name","q_0.025","q_0.25","q_0.50","q_0.75","q_0.975"
2010-10-09,2010,40,"AL","01","Alabama",0.13,0.43,0.8,1.48,4.83
2010-10-09,2010,40,"AK","02","Alaska",0.04,0.14,0.26,0.48,1.58
2010-10-09,2010,40,"AZ","04","Arizona",2.68,8.71,16.12,29.72,93.15
2010-10-09,2010,40,"AR","05","Arkansas",0.08,0.25,0.47,0.87,2.82
2010-10-09,2010,40,"CA","06","California",1.81,5.89,10.93,20.24,64.55
2010-10-09,2010,40,"CO","08","Colorado",1.12,3.65,6.77,12.55,40.19
2010-10-09,2010,40,"CT","09","Connecticut",0.12,0.4,0.75,1.39,4.54
2010-10-09,2010,40,"DE","10","Delaware",1.46,4.76,8.84,16.38,52.29
2010-10-09,2010,40,"DC","11","District of Columbia",0.06,0.19,0.36,0.66,2.19
2010-10-09,2010,40,"FL","12","Florida",0.07,0.68,2.17,6.95,62.43
2010-10-09,2010,40,"GA","13","Georgia",0.12,0.41,0.75,1.4,4.57
2010-10-09,2010,40,"HI","15","Hawaii",5.35,17.42,32.19,59.04,178.69
2010-10-09,2010,40,"ID","16","Idaho",0.46,2.94,7.79,20.53,123.64
2010-10-09,2010,40,"IL","17","Illinois",0.17,0.56,1.05,1.95,6.34
2010-10-09,2010,40,"IN","18","Indiana",0.06,0.19,0.35,0.64,2.1
2010-10-09,2010,40,"IA","19","Iowa",0.08,0.25,0.46,0.85,2.76
2010-10-09,2010,40,"KS","20","Kansas",0.14,0.75,1.84,4.52,24.74
2010-10-09,2010,40,"KY","21","Kentucky",1.74,5.66,10.49,19.39,61.52
2010-10-09,2010,40,"LA","22","Louisiana",2.22,7.22,13.4,24.76,78.32
2010-10-09,2010,40,"ME","23","Maine",0.06,0.35,0.93,2.44,15.22
2010-10-09,2010,40,"MD","24","Maryland",0.14,0.44,0.82,1.53,4.97
2010-10-09,2010,40,"MA","25","Massachusetts",0.07,0.23,0.44,0.81,2.65
2010-10-09,2010,40,"MI","26","Michigan",0.57,3.34,8.42,21.13,116.49
2010-10-09,2010,40,"MN","27","Minnesota",1.95,6.33,11.73,21.67,68.62
